doc_id,item,category,amount,price,discount
m9zal38e,кружка,посуда,2,7,3
7p35v5x7,кружка,посуда,3,7,2
7p35v5x7,туфли,обувь,4,20,1
oh8xtg50,тюльпан,цветы,4,10,0
oh8xtg50,яблоко,фрукты,2,5,1
oh8xtg50,тюльпан,цветы,2,10,2
oh8xtg50,туфли,обувь,1,20,0
oh8xtg50,кружка,посуда,3,7,2
gzioe556,кружка,посуда,2,7,0
gja0ism4,футболка,одежда,3,15,3
gja0ism4,туфли,обувь,2,20,2
gja0ism4,яблоко,фрукты,5,5,3
gja0ism4,туфли,обувь,3,20,2
gja0ism4,кружка,посуда,4,7,3
mwsfu1g7,яблоко,фрукты,2,5,1
mwsfu1g7,туфли,обувь,4,20,0
mwsfu1g7,туфли,обувь,3,20,2
mwsfu1g7,кружка,посуда,5,7,0
mwsfu1g7,кружка,посуда,2,7,0
w9hc3y2u,футболка,одежда,3,15,2
w9hc3y2u,футболка,одежда,4,15,2
w9hc3y2u,футболка,одежда,3,15,3
w9hc3y2u,тюльпан,цветы,5,10,2
5xzmx0vs,футболка,одежда,5,15,3
hpkqovk5,кружка,посуда,4,7,3
hpkqovk5,кружка,посуда,1,7,1
pn92ffg7,яблоко,фрукты,3,5,2
